matches_name,Player_Name,Overs,Maidens,Runs_conceded,Wickets,Economy,Wides,No_balls
Pokhara vs Kathmandu - 24th Match,Sagar Dhakal,4,0,37,0,9.25,0,0
Pokhara vs Kathmandu - 24th Match,Bipin Khatri,3,0,19,3,6.33,0,0
Pokhara vs Kathmandu - 24th Match,Raymon Reifer,2,0,20,0,10,0,0
Pokhara vs Kathmandu - 24th Match,Aakash Chand,1,0,18,0,18,0,1
Pokhara vs Kathmandu - 24th Match,Kushal Bhurtel,2,0,12,0,6,0,0
Pokhara vs Kathmandu - 24th Match,Aakarshit Gomel,1,0,13,0,13,0,0
Pokhara vs Kathmandu - 24th Match,Michael Leask,1,0,17,1,17,0,0
Pokhara vs Kathmandu - 24th Match,Dinesh Kharel,0.1,0,6,0,36,0,0
Chitwan vs Janakpur - 25th Match,Kishore Mahato,3,0,40,0,13.33,4,0
Chitwan vs Janakpur - 25th Match,Harsh Thaker,4,0,27,1,6.75,1,0
Chitwan vs Janakpur - 25th Match,Lalit Rajbanshi,4,2,11,2,2.75,0,0
Chitwan vs Janakpur - 25th Match,Sher Malla,2,0,20,0,10,0,0
Chitwan vs Janakpur - 25th Match,Mohammad Mohsin,3,0,24,1,8,0,0
Chitwan vs Janakpur - 25th Match,Arniko Yadav,1,0,20,0,20,2,0
Chitwan vs Janakpur - 25th Match,James Neesham,3,0,37,1,12.33,0,0
Chitwan vs Janakpur - 25th Match,Rijan Dhakal,3,0,19,2,6.33,0,0
Chitwan vs Janakpur - 25th Match,Sohail Tanvir,4,0,23,2,5.75,2,1
Chitwan vs Janakpur - 25th Match,Kushal Malla,4,0,26,2,6.5,1,0
